Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 86 Node temp: 81 Source: 0 Coordinate: (0,0) Alert: True , time : 0.000000s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 90 Node temp: 88 Source: 14 Coordinate: (3,2) Alert: True , time : 0.046434s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 90 Node temp: 81 Source: 0 Coordinate: (0,0) Alert: True , time : 0.046869s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 83 Node temp: 85 Source: 6 Coordinate: (1,2) Alert: True , time : 0.054482s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 73 Node temp: 85 Source: 8 Coordinate: (2,0) Alert: False , time : 0.055321s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 90 Node temp: 89 Source: 9 Coordinate: (2,1) Alert: True , time : 0.057333s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 76 Node temp: 83 Source: 13 Coordinate: (3,1) Alert: False , time : 0.062373s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 72 Node temp: 86 Source: 14 Coordinate: (3,2) Alert: False , time : 0.061955s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 79 Node temp: 84 Source: 8 Coordinate: (2,0) Alert: False , time : 0.068748s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 83 Node temp: 81 Source: 13 Coordinate: (3,1) Alert: True , time : 0.071101s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 85 Node temp: 83 Source: 14 Coordinate: (3,2) Alert: True , time : 0.073140s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 81 Node temp: 89 Source: 15 Coordinate: (3,3) Alert: True , time : 0.080188s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 81 Node temp: 81 Source: 0 Coordinate: (0,0) Alert: True , time : 0.078229s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 88 Node temp: 89 Source: 1 Coordinate: (0,1) Alert: True , time : 0.075783s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 82 Node temp: 89 Source: 3 Coordinate: (0,3) Alert: True , time : 0.092125s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 78 Node temp: 81 Source: 4 Coordinate: (1,0) Alert: False , time : 0.079612s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 90 Node temp: 85 Source: 5 Coordinate: (1,1) Alert: True , time : 0.093448s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 79 Node temp: 85 Source: 7 Coordinate: (1,3) Alert: False , time : 0.096958s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 80 Node temp: 89 Source: 8 Coordinate: (2,0) Alert: False , time : 0.101914s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 90 Node temp: 85 Source: 10 Coordinate: (2,2) Alert: True , time : 0.107455s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 77 Node temp: 90 Source: 11 Coordinate: (2,3) Alert: False , time : 0.102874s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 83 Node temp: 83 Source: 12 Coordinate: (3,0) Alert: True , time : 0.115657s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 86 Node temp: 89 Source: 13 Coordinate: (3,1) Alert: True , time : 0.109184s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 90 Node temp: 83 Source: 14 Coordinate: (3,2) Alert: True , time : 0.113310s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 81 Node temp: 81 Source: 0 Coordinate: (0,0) Alert: True , time : 0.116146s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 87 Node temp: 87 Source: 3 Coordinate: (0,3) Alert: True , time : 0.127862s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 71 Node temp: 84 Source: 5 Coordinate: (1,1) Alert: False , time : 0.128044s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 85 Node temp: 85 Source: 8 Coordinate: (2,0) Alert: True , time : 0.130194s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 84 Node temp: 83 Source: 10 Coordinate: (2,2) Alert: True , time : 0.131752s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 86 Node temp: 83 Source: 12 Coordinate: (3,0) Alert: True , time : 0.138008s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 71 Node temp: 81 Source: 0 Coordinate: (0,0) Alert: False , time : 0.134741s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 85 Node temp: 89 Source: 1 Coordinate: (0,1) Alert: True , time : 0.123111s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 87 Node temp: 84 Source: 6 Coordinate: (1,2) Alert: True , time : 0.144769s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 72 Node temp: 84 Source: 7 Coordinate: (1,3) Alert: False , time : 0.143621s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 72 Node temp: 86 Source: 8 Coordinate: (2,0) Alert: False , time : 0.148599s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 88 Node temp: 83 Source: 9 Coordinate: (2,1) Alert: True , time : 0.145777s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 84 Node temp: 84 Source: 10 Coordinate: (2,2) Alert: True , time : 0.154975s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 77 Node temp: 82 Source: 11 Coordinate: (2,3) Alert: False , time : 0.161281s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 82 Node temp: 87 Source: 12 Coordinate: (3,0) Alert: True , time : 0.154366s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 77 Node temp: 85 Source: 13 Coordinate: (3,1) Alert: False , time : 0.157342s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 84 Node temp: 88 Source: 14 Coordinate: (3,2) Alert: True , time : 0.160169s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 77 Node temp: 86 Source: 15 Coordinate: (3,3) Alert: False , time : 0.179893s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 74 Node temp: 81 Source: 0 Coordinate: (0,0) Alert: False , time : 0.172030s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 88 Node temp: 87 Source: 6 Coordinate: (1,2) Alert: True , time : 0.172224s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 78 Node temp: 89 Source: 13 Coordinate: (3,1) Alert: False , time : 0.171804s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 90 Node temp: 88 Source: 15 Coordinate: (3,3) Alert: True , time : 0.186241s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 80 Node temp: 81 Source: 0 Coordinate: (0,0) Alert: False , time : 0.177443s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 78 Node temp: 81 Source: 0 Coordinate: (0,0) Alert: False , time : 0.177157s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 78 Node temp: 85 Source: 1 Coordinate: (0,1) Alert: False , time : 0.177424s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 74 Node temp: 81 Source: 2 Coordinate: (0,2) Alert: False , time : 0.213222s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 74 Node temp: 84 Source: 4 Coordinate: (1,0) Alert: False , time : 0.183927s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 78 Node temp: 83 Source: 5 Coordinate: (1,1) Alert: False , time : 0.191442s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 82 Node temp: 81 Source: 6 Coordinate: (1,2) Alert: True , time : 0.197378s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 81 Node temp: 87 Source: 7 Coordinate: (1,3) Alert: True , time : 0.197049s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 89 Node temp: 90 Source: 9 Coordinate: (2,1) Alert: True , time : 0.200354s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 72 Node temp: 89 Source: 10 Coordinate: (2,2) Alert: False , time : 0.205912s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 75 Node temp: 86 Source: 12 Coordinate: (3,0) Alert: False , time : 0.206410s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 85 Node temp: 89 Source: 13 Coordinate: (3,1) Alert: True , time : 0.208983s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 74 Node temp: 89 Source: 14 Coordinate: (3,2) Alert: False , time : 0.209828s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 81 Node temp: 82 Source: 15 Coordinate: (3,3) Alert: True , time : 0.223553s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 76 Node temp: 81 Source: 0 Coordinate: (0,0) Alert: False , time : 0.213634s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 78 Node temp: 87 Source: 4 Coordinate: (1,0) Alert: False , time : 0.216209s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 79 Node temp: 88 Source: 6 Coordinate: (1,2) Alert: False , time : 0.223663s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 72 Node temp: 85 Source: 7 Coordinate: (1,3) Alert: False , time : 0.225106s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 87 Node temp: 82 Source: 10 Coordinate: (2,2) Alert: True , time : 0.229615s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 79 Node temp: 81 Source: 12 Coordinate: (3,0) Alert: False , time : 0.232481s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 88 Node temp: 90 Source: 14 Coordinate: (3,2) Alert: True , time : 0.232809s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 79 Node temp: 81 Source: 0 Coordinate: (0,0) Alert: False , time : 0.234728s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 76 Node temp: 85 Source: 6 Coordinate: (1,2) Alert: False , time : 0.241988s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 71 Node temp: 86 Source: 7 Coordinate: (1,3) Alert: False , time : 0.241534s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 70 Node temp: 88 Source: 8 Coordinate: (2,0) Alert: False , time : 0.242702s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 83 Node temp: 86 Source: 9 Coordinate: (2,1) Alert: True , time : 0.252316s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 81 Node temp: 88 Source: 10 Coordinate: (2,2) Alert: True , time : 0.253408s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 86 Node temp: 85 Source: 12 Coordinate: (3,0) Alert: True , time : 0.250361s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 83 Node temp: 83 Source: 13 Coordinate: (3,1) Alert: True , time : 0.252246s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:19,Infared temp: 75 Node temp: 85 Source: 15 Coordinate: (3,3) Alert: False , time : 0.268176s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:19,Infared temp: 83 Node temp: 81 Source: 0 Coordinate: (0,0) Alert: True , time : 0.257833s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:19,Infared temp: 82 Node temp: 84 Source: 1 Coordinate: (0,1) Alert: True , time : 0.258625s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:19,Infared temp: 89 Node temp: 90 Source: 2 Coordinate: (0,2) Alert: True , time : 0.295080s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:19,Infared temp: 79 Node temp: 83 Source: 3 Coordinate: (0,3) Alert: False , time : 0.278808s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:19,Infared temp: 85 Node temp: 85 Source: 4 Coordinate: (1,0) Alert: True , time : 0.270506s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:19,Infared temp: 76 Node temp: 86 Source: 5 Coordinate: (1,1) Alert: False , time : 0.275401s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:19,Infared temp: 76 Node temp: 84 Source: 6 Coordinate: (1,2) Alert: False , time : 0.280197s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:19,Infared temp: 72 Node temp: 90 Source: 10 Coordinate: (2,2) Alert: False , time : 0.285307s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:19,Infared temp: 75 Node temp: 90 Source: 3 Coordinate: (0,3) Alert: False , time : 0.288145s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:19,Infared temp: 76 Node temp: 90 Source: 4 Coordinate: (1,0) Alert: False , time : 0.282974s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:19,Infared temp: 72 Node temp: 88 Source: 6 Coordinate: (1,2) Alert: False , time : 0.288819s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:19,Infared temp: 79 Node temp: 90 Source: 7 Coordinate: (1,3) Alert: False , time : 0.291385s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:19,Infared temp: 87 Node temp: 84 Source: 8 Coordinate: (2,0) Alert: True , time : 0.287815s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:19,Infared temp: 88 Node temp: 87 Source: 9 Coordinate: (2,1) Alert: True , time : 0.295795s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:19,Infared temp: 76 Node temp: 86 Source: 11 Coordinate: (2,3) Alert: False , time : 0.297422s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:19,Infared temp: 71 Node temp: 83 Source: 12 Coordinate: (3,0) Alert: False , time : 0.297842s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:19,Infared temp: 79 Node temp: 81 Source: 13 Coordinate: (3,1) Alert: False , time : 0.302251s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:19,Infared temp: 74 Node temp: 85 Source: 14 Coordinate: (3,2) Alert: False , time : 0.304051s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:19,Infared temp: 89 Node temp: 81 Source: 15 Coordinate: (3,3) Alert: True , time : 0.316600s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:19,Infared temp: 83 Node temp: 81 Source: 0 Coordinate: (0,0) Alert: True , time : 0.310198s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:19,Infared temp: 76 Node temp: 85 Source: 1 Coordinate: (0,1) Alert: False , time : 0.310250s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:19,Infared temp: 73 Node temp: 85 Source: 2 Coordinate: (0,2) Alert: False , time : 0.345789s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:19,Infared temp: 74 Node temp: 86 Source: 3 Coordinate: (0,3) Alert: False , time : 0.319797s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:19,Infared temp: 82 Node temp: 88 Source: 4 Coordinate: (1,0) Alert: True , time : 0.319356s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:19,Infared temp: 71 Node temp: 88 Source: 5 Coordinate: (1,1) Alert: False , time : 0.323512s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:19,Infared temp: 90 Node temp: 89 Source: 6 Coordinate: (1,2) Alert: True , time : 0.327849s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:19,Infared temp: 81 Node temp: 89 Source: 8 Coordinate: (2,0) Alert: True , time : 0.318030s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:19,Infared temp: 86 Node temp: 82 Source: 15 Coordinate: (3,3) Alert: True , time : 0.337382s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:19,Infared temp: 89 Node temp: 81 Source: 0 Coordinate: (0,0) Alert: True , time : 0.328199s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:19,Infared temp: 70 Node temp: 82 Source: 1 Coordinate: (0,1) Alert: False , time : 0.328982s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:19,Infared temp: 84 Node temp: 81 Source: 2 Coordinate: (0,2) Alert: True , time : 0.361035s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:19,Infared temp: 72 Node temp: 81 Source: 3 Coordinate: (0,3) Alert: False , time : 0.340419s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:19,Infared temp: 72 Node temp: 81 Source: 4 Coordinate: (1,0) Alert: False , time : 0.330587s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:19,Infared temp: 90 Node temp: 90 Source: 5 Coordinate: (1,1) Alert: True , time : 0.338220s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:19,Infared temp: 80 Node temp: 83 Source: 15 Coordinate: (3,3) Alert: False , time : 0.346226s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:19,Infared temp: 73 Node temp: 81 Source: 0 Coordinate: (0,0) Alert: False , time : 0.343628s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:19,Infared temp: 78 Node temp: 87 Source: 1 Coordinate: (0,1) Alert: False , time : 0.339895s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:19,Infared temp: 70 Node temp: 81 Source: 0 Coordinate: (0,0) Alert: False , time : 0.343400s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:19,Infared temp: 76 Node temp: 81 Source: 0 Coordinate: (0,0) Alert: False , time : 0.341004s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:19,Infared temp: 73 Node temp: 81 Source: 0 Coordinate: (0,0) Alert: False , time : 0.342111s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:19,Infared temp: 84 Node temp: 81 Source: 0 Coordinate: (0,0) Alert: True , time : 0.339683s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:19,Infared temp: 76 Node temp: 81 Source: 0 Coordinate: (0,0) Alert: False , time : 0.342863s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:19,Infared temp: 87 Node temp: 81 Source: 0 Coordinate: (0,0) Alert: True , time : 0.340434s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:19,Infared temp: 71 Node temp: 81 Source: 0 Coordinate: (0,0) Alert: False , time : 0.341253s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:19,Infared temp: 80 Node temp: 81 Source: 0 Coordinate: (0,0) Alert: False , time : 0.339016s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:19,Infared temp: 79 Node temp: 81 Source: 0 Coordinate: (0,0) Alert: False , time : 0.337567s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:19,Infared temp: 90 Node temp: 81 Source: 0 Coordinate: (0,0) Alert: True , time : 0.341801s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:19,Infared temp: 74 Node temp: 81 Source: 0 Coordinate: (0,0) Alert: False , time : 0.336568s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:19,Infared temp: 76 Node temp: 81 Source: 0 Coordinate: (0,0) Alert: False , time : 0.337852s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:19,Infared temp: 70 Node temp: 81 Source: 0 Coordinate: (0,0) Alert: False , time : 0.332298s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:19,Infared temp: 80 Node temp: 81 Source: 0 Coordinate: (0,0) Alert: False , time : 0.335378s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:19,Infared temp: 83 Node temp: 81 Source: 0 Coordinate: (0,0) Alert: True , time : 0.329638s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:19,Infared temp: 90 Node temp: 81 Source: 0 Coordinate: (0,0) Alert: True , time : 0.331421s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:19,Infared temp: 90 Node temp: 81 Source: 0 Coordinate: (0,0) Alert: True , time : 0.336328s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:19,Infared temp: 84 Node temp: 81 Source: 0 Coordinate: (0,0) Alert: True , time : 0.335374s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:19,Infared temp: 85 Node temp: 81 Source: 0 Coordinate: (0,0) Alert: True , time : 0.339812s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:19,Infared temp: 87 Node temp: 81 Source: 0 Coordinate: (0,0) Alert: True , time : 0.338641s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:19,Infared temp: 74 Node temp: 81 Source: 0 Coordinate: (0,0) Alert: False , time : 0.343370s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:19,Infared temp: 86 Node temp: 81 Source: 0 Coordinate: (0,0) Alert: True , time : 0.342339s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:19,Infared temp: 78 Node temp: 81 Source: 0 Coordinate: (0,0) Alert: False , time : 0.347313s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:19,Infared temp: 89 Node temp: 81 Source: 0 Coordinate: (0,0) Alert: True , time : 0.346453s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:19,Infared temp: 72 Node temp: 81 Source: 0 Coordinate: (0,0) Alert: False , time : 0.351275s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:19,Infared temp: 76 Node temp: 81 Source: 0 Coordinate: (0,0) Alert: False , time : 0.350425s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:19,Infared temp: 71 Node temp: 81 Source: 0 Coordinate: (0,0) Alert: False , time : 0.355214s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:19,Infared temp: 70 Node temp: 81 Source: 0 Coordinate: (0,0) Alert: False , time : 0.354521s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:19,Infared temp: 88 Node temp: 90 Source: 1 Coordinate: (0,1) Alert: True , time : 0.448224s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:19,Infared temp: 85 Node temp: 87 Source: 2 Coordinate: (0,2) Alert: True , time : 0.484348s 
